Photon,Coherent
1.000E-03,3.683E+03
1.500E-03,1.644E+03
1.809E-03,1.108E+03
1.809E-03,1.315E+03
1.840E-03,1.942E+03
1.872E-03,2.865E+03
1.872E-03,3.123E+03
2.000E-03,3.921E+03
2.281E-03,2.828E+03
2.281E-03,3.279E+03
2.423E-03,2.832E+03
2.575E-03,2.446E+03
2.575E-03,2.599E+03
2.694E-03,2.338E+03
2.820E-03,2.104E+03
2.820E-03,2.194E+03
3.000E-03,1.902E+03
4.000E-03,9.563E+02
5.000E-03,5.532E+02
6.000E-03,3.513E+02
8.000E-03,1.705E+02
1.000E-02,9.690E+01
1.021E-02,9.200E+01
1.021E-02,2.334E+02
1.085E-02,1.985E+02
1.154E-02,1.689E+02
1.154E-02,2.312E+02
1.182E-02,2.185E+02
1.210E-02,2.065E+02
1.210E-02,2.382E+02
1.500E-02,1.389E+02
2.000E-02,6.572E+01
3.000E-02,2.273E+01
4.000E-02,1.067E+01
5.000E-02,5.950E+00
6.000E-02,3.713E+00
6.953E-02,2.552E+00
6.953E-02,1.123E+01
8.000E-02,7.809E+00
1.000E-01,4.437E+00
1.500E-01,1.581E+00
2.000E-01,7.845E-01
3.000E-01,3.238E-01
4.000E-01,1.925E-01
5.000E-01,1.378E-01